symbol,strategy,direction,win_rate,signal_date,status,expiration,target_type,atr,entry_price,target_price,stop_price,last_close_price,diff_from_entry,entry_date,exit_date,num_days_open,timeframe,scan_date,ttm_squeeze_d.momentum,ttm_squeeze_d.momentum_prev,bb_30_20_d.upper,atr_5_d.value,swing_trend_w.color,swing_trend_w.color_prev,atr_5_w.value,trig_20_8_w.plot1,trig_20_8_w.plot2,sma_40_w.value,rsqueeze_atr14_w.momentum,rsqueeze_atr14_w.momentum_prev,supertrend_5_023_w.direction,donchian_14_d.mean,sma_40_d.value,donchian_14_d.mean_prev,trig_20_8_d.plot1,trig_20_8_d.plot2,rsqueeze_4_d.momentum,rsqueeze_20_d.momentum,cci_14_6_w.cci_short,cci_14_6_w.cci_long
QQQ,Donchian Hook Buy,buy,94%,2026-01-27,Open,03/20/26,ATR5 x 1.0,7.7519,635.46,643.21,n/a,608.81,-26.65,2026-01-28,,open,daily,2026-01-27,,,,7.7519,,,,,,,,,,619.5464,620.1298,618.525,,,,,,
XLK,Donchian Hook Buy,buy,87%,2026-01-27,Open,03/20/26,ATR5 x 1.0,2.3925,149.0,151.39,n/a,140.88,-8.12,2026-01-28,,open,daily,2026-01-27,,,,2.3925,,,,,,,,,,145.115,145.1244,144.59,,,,,,
SPY,Donchian T-Lines Buy,buy,90%,2026-01-27,Open,03/20/26,ATR5 x 1.0,5.8787,697.05,702.93,n/a,689.43,-7.62,2026-01-28,,open,daily,2026-01-27,,,,5.8787,,,,,,,,,,686.55,686.2778,,691.3311,690.6076,,,,
XLK,Donchian T-Lines Buy,buy,91%,2026-01-27,Open,03/20/26,ATR5 x 1.0,2.3925,149.0,151.39,n/a,140.88,-8.12,2026-01-28,,open,daily,2026-01-27,,,,2.3925,,,,,,,,,,145.115,145.1244,,145.47,145.1702,,,,
XLV,Donchian T-Lines Sell,sell,85%,2026-01-27,Open,03/20/26,ATR5 x 1.0,2.1549,154.3,152.15,n/a,156.82,-2.52,2026-01-28,,open,daily,2026-01-27,,,,2.1549,,,,,,,,,,156.91,155.5835,,157.5241,157.6353,,,,
UNG,Weekly 10.5 Squeeze Buy,buy,76%,2026-01-27,Target Hit,03/20/26,Weekly ATR5 x 0.55,2.1254,14.46,15.63,n/a,12.01,-2.45,2026-01-28,2026-01-30,2,weekly,2026-01-27,,,,,,,2.1254,,,14.1735,-0.6496,-0.9192,-1.0,,,,,,,,,
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-01-27,Open,03/20/26,Weekly ATR5 x 0.55,1.2707,40.62,41.32,n/a,38.81,-1.81,2026-01-28,,open,weekly,2026-01-27,,,,,gold,red,1.2707,,,,,,,,,,,,,,,
IYR,Weekly Swing Trend Buy Setup 2,buy,89%,2026-01-27,Target Hit,03/20/26,Weekly ATR5 x 0.55,2.617,95.97,97.41,n/a,100.54,4.57,2026-01-28,2026-02-06,7,weekly,2026-01-27,,,,,,,2.617,94.9229,94.9066,95.4895,,,,,,,,,,,,
USO,Weekly Swing Trend Buy Setup 2,buy,76%,2026-01-27,Target Hit,03/20/26,Weekly ATR5 x 0.55,3.4499,76.26,78.16,n/a,80.85,4.59,2026-01-28,2026-01-29,1,weekly,2026-01-27,,,,,,,3.4499,69.8203,69.5531,72.102,,,,,,,,,,,,
XOP,Weekly Swing Trend Buy Setup 2,buy,83%,2026-01-27,Target Hit,03/20/26,Weekly ATR5 x 0.55,7.1247,136.38,140.3,n/a,151.86,15.48,2026-01-28,2026-01-29,1,weekly,2026-01-27,,,,,,,7.1247,130.1341,129.9926,127.8615,,,,,,,,,,,,
FXI,Donchian T-Lines Buy,buy,83%,2026-01-28,Open,03/20/26,ATR5 x 1.0,0.5415,41.0,41.54,n/a,38.81,-2.19,2026-01-29,,open,daily,2026-01-28,,,,0.5415,,,,,,,,,,39.75,39.239,,39.8851,39.8452,,,,
EFA,ETF Squeeze Sell,sell,77%,2026-01-28,Target Hit,03/20/26,ATR5 x 1.0,1.1659,102.02,100.85,n/a,104.9,-2.89,2026-01-29,2026-01-29,0,daily,2026-01-28,2.1838,2.2355,101.7474,1.1659,,,,,,,,,,,,,,,,,,
XLB,ETF Squeeze Sell,sell,86%,2026-01-28,Target Hit,03/20/26,ATR5 x 1.0,0.6309,50.45,49.82,n/a,52.96,-2.51,2026-01-29,2026-01-29,0,daily,2026-01-28,2.1446,2.1827,50.8675,0.6309,,,,,,,,,,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-01-28,Open,03/20/26,Weekly ATR5 x 0.55,17.2827,632.65,642.16,n/a,608.81,-23.84,2026-01-29,,open,weekly,2026-01-28,,,,,gold,gold,17.2827,,,,,,,,,,,,,,,
USO,Weekly Swing Trend Buy Setup 1,buy,76%,2026-01-28,Open,03/20/26,Weekly ATR5 x 0.55,3.4499,80.11,82.01,n/a,80.85,0.74,2026-01-29,,open,weekly,2026-01-28,,,,,gold,gold,3.4499,,,,,,,,,,,,,,,
XHB,Weekly Swing Trend Buy Setup 1,buy,93%,2026-01-28,Target Hit,03/20/26,Weekly ATR5 x 0.55,5.1444,110.19,113.02,n/a,118.91,8.72,2026-01-29,2026-02-03,3,weekly,2026-01-28,,,,,gold,gold,5.1444,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-01-28,Target Hit,03/20/26,Weekly ATR5 x 0.55,1.4684,50.45,51.26,n/a,52.96,2.51,2026-01-29,2026-02-04,4,weekly,2026-01-28,,,,,gold,gold,1.4684,,,,,,,,,,,,,,,
XLK,Weekly Swing Trend Buy Setup 1,buy,86%,2026-01-28,Open,03/20/26,Weekly ATR5 x 0.55,4.7028,147.84,150.43,n/a,140.88,-6.96,2026-01-29,,open,weekly,2026-01-28,,,,,gold,gold,4.7028,,,,,,,,,,,,,,,
EWG,ETF Squeeze Sell,sell,78%,2026-01-29,Target Hit,03/20/26,ATR5 x 1.0,0.6003,43.38,42.78,n/a,44.32,-0.94,2026-01-30,2026-02-05,4,daily,2026-01-29,0.3915,0.4571,44.2829,0.6003,,,,,,,,,,,,,,,,,,
GDX,ETF Squeeze Sell,sell,80%,2026-01-29,Target Hit,03/20/26,ATR5 x 1.0,5.0921,98.91,93.82,n/a,106.26,-7.35,2026-01-30,2026-01-30,0,daily,2026-01-29,12.1876,12.3053,111.363,5.0921,,,,,,,,,,,,,,,,,,
IBB,ETF Squeeze Sell,sell,82%,2026-01-29,Target Hit,03/20/26,ATR5 x 1.0,3.0832,173.24,170.16,n/a,174.39,-1.15,2026-01-30,2026-02-05,4,daily,2026-01-29,2.8037,2.9343,177.8336,3.0832,,,,,,,,,,,,,,,,,,
VWO,ETF Squeeze Sell,sell,90%,2026-01-29,Target Hit,03/20/26,ATR5 x 1.0,0.6742,56.95,56.28,n/a,58.53,-1.58,2026-01-30,2026-01-30,0,daily,2026-01-29,1.6649,1.6939,58.1464,0.6742,,,,,,,,,,,,,,,,,,
DIA,Squeeze Play Sector Sell,sell,90%,2026-01-29,Open,03/20/26,ATR5 x 1.0,5.1658,489.11,483.94,n/a,496.08,-6.97,2026-01-30,,open,daily,2026-01-29,,,,5.1658,,,,,,,,,,,486.4912,,492.5847,493.3683,-1.3605,2.6456,,
UNG,Weekly 10.5 Squeeze Buy,buy,76%,2026-01-29,Target Hit,03/20/26,Weekly ATR5 x 0.55,2.1254,15.84,17.01,n/a,12.01,-3.83,2026-01-30,2026-01-30,0,weekly,2026-01-29,,,,,,,2.1254,,,14.1735,-0.6496,-0.9192,-1.0,,,,,,,,,
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-01-29,Open,03/20/26,Weekly ATR5 x 0.55,1.2707,40.07,40.77,n/a,38.81,-1.26,2026-01-30,,open,weekly,2026-01-29,,,,,gold,red,1.2707,,,,,,,,,,,,,,,
IYR,Weekly Swing Trend Buy Setup 2,buy,89%,2026-01-29,Target Hit,03/20/26,Weekly ATR5 x 0.55,2.617,96.02,97.46,n/a,100.54,4.52,2026-01-30,2026-02-06,5,weekly,2026-01-29,,,,,,,2.617,94.9229,94.9066,95.4895,,,,,,,,,,,,
USO,Weekly Swing Trend Buy Setup 2,buy,76%,2026-01-29,Open,03/20/26,Weekly ATR5 x 0.55,3.4499,79.44,81.34,n/a,80.85,1.41,2026-01-30,,open,weekly,2026-01-29,,,,,,,3.4499,69.8203,69.5531,72.102,,,,,,,,,,,,
XOP,Weekly Swing Trend Buy Setup 2,buy,83%,2026-01-29,Target Hit,03/20/26,Weekly ATR5 x 0.55,7.1247,138.7,142.62,n/a,151.86,13.16,2026-01-30,2026-02-04,3,weekly,2026-01-29,,,,,,,7.1247,130.1341,129.9926,127.8615,,,,,,,,,,,,
UNG,Donchian Hook Buy,buy,74%,2026-01-30,Open,03/20/26,ATR5 x 1.0,1.1341,13.76,14.89,n/a,12.01,-1.75,2026-02-02,,open,daily,2026-01-30,,,,1.1341,,,,,,,,,,13.4875,12.944,12.585,,,,,,
TLT,Donchian T-Lines Sell,sell,73%,2026-01-30,Open,03/20/26,ATR5 x 1.0,0.6016,87.02,86.42,n/a,89.41,-2.39,2026-02-02,,open,daily,2026-01-30,,,,0.6016,,,,,,,,,,87.6003,87.773,,87.7324,87.7655,,,,
EFA,ETF Squeeze Sell,sell,77%,2026-01-30,Open,03/20/26,ATR5 x 1.0,1.2574,100.88,99.62,n/a,104.9,-4.02,2026-02-02,,open,daily,2026-01-30,1.986,2.2274,102.2816,1.2574,,,,,,,,,,,,,,,,,,
EWH,ETF Squeeze Sell,sell,88%,2026-01-30,Open,03/20/26,ATR5 x 1.0,0.3664,23.17,22.8,n/a,23.76,-0.59,2026-02-02,,open,daily,2026-01-30,0.8447,0.9154,23.6121,0.3664,,,,,,,,,,,,,,,,,,
FXI,ETF Squeeze Sell,sell,89%,2026-01-30,Target Hit,03/20/26,ATR5 x 1.0,0.7867,39.15,38.36,n/a,38.81,0.34,2026-02-02,2026-02-04,2,daily,2026-01-30,0.1597,0.3829,40.8565,0.7867,,,,,,,,,,,,,,,,,,
GLD,ETF Squeeze Sell,sell,83%,2026-01-30,Open,03/20/26,ATR5 x 1.0,27.1676,434.01,406.84,n/a,468.62,-34.61,2026-02-02,,open,daily,2026-01-30,36.5972,43.2578,482.6302,27.1676,,,,,,,,,,,,,,,,,,
QQQ,ETF Squeeze Sell,sell,85%,2026-01-30,Target Hit,03/20/26,ATR5 x 1.0,9.1596,618.7,609.54,n/a,608.81,9.89,2026-02-02,2026-02-04,2,daily,2026-01-30,4.2971,5.6937,634.4429,9.1596,,,,,,,,,,,,,,,,,,
SLV,ETF Squeeze Sell,sell,86%,2026-01-30,Open,03/20/26,ATR5 x 1.0,13.5456,73.8,60.25,n/a,76.62,-2.82,2026-02-02,,open,daily,2026-01-30,13.765,18.6377,103.9605,13.5456,,,,,,,,,,,,,,,,,,
XLK,ETF Squeeze Sell,sell,80%,2026-01-30,Target Hit,03/20/26,ATR5 x 1.0,3.1914,143.53,140.34,n/a,140.88,2.65,2026-02-02,2026-02-03,1,daily,2026-01-30,0.6648,1.2955,149.0516,3.1914,,,,,,,,,,,,,,,,,,
FXI,Weekly 10.5 Squeeze Buy,buy,87%,2026-01-30,Open,03/20/26,Weekly ATR5 x 0.55,1.3966,39.15,39.91,n/a,38.81,-0.34,2026-02-02,,open,weekly,2026-01-30,,,,,,,1.3966,,,38.3822,-0.6886,-0.7758,-1.0,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-01-30,Target Hit,03/20/26,Weekly ATR5 x 0.55,17.4921,618.7,628.32,n/a,608.81,-9.89,2026-02-02,2026-02-02,0,weekly,2026-01-30,,,,,gold,gold,17.4921,,,,,,,,,,,,,,,
UNG,Weekly Swing Trend Buy Setup 1,buy,81%,2026-01-30,Open,03/20/26,Weekly ATR5 x 0.55,2.3113,13.76,15.03,n/a,12.01,-1.75,2026-02-02,,open,weekly,2026-01-30,,,,,gold,red,2.3113,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-01-30,Target Hit,03/20/26,Weekly ATR5 x 0.55,1.5367,49.25,50.1,n/a,52.96,3.71,2026-02-02,2026-02-03,1,weekly,2026-01-30,,,,,gold,gold,1.5367,,,,,,,,,,,,,,,
VNQ,Weekly Swing Trend Buy Setup 2,buy,90%,2026-01-30,Target Hit,03/20/26,Weekly ATR5 x 0.55,2.2756,90.9,92.15,n/a,94.88,3.98,2026-02-02,2026-02-06,4,weekly,2026-01-30,,,,,,,2.2756,89.8261,89.5813,90.1715,,,,,,,,,,,,
QQQ,Weekly Turbo Hook Buy,buy,86%,2026-01-30,Target Hit,03/20/26,Weekly ATR5 x 0.55,17.4921,618.7,628.32,n/a,608.81,-9.89,2026-02-02,2026-02-02,0,weekly,2026-01-30,,,,,,,17.4921,,,578.9762,,,,,,,,,,,99.5411,87.2123
SPY,Weekly Turbo Hook Buy,buy,92%,2026-01-30,Target Hit,03/20/26,Weekly ATR5 x 0.55,13.3385,689.58,696.92,n/a,689.43,-0.15,2026-02-02,2026-02-02,0,weekly,2026-01-30,,,,,,,13.3385,,,646.3835,,,,,,,,,,,65.9938,97.4306
XLK,Weekly Turbo Hook Buy,buy,89%,2026-01-30,Open,03/20/26,Weekly ATR5 x 0.55,5.1443,143.53,146.36,n/a,140.88,-2.65,2026-02-02,,open,weekly,2026-01-30,,,,,,,5.1443,,,134.093,,,,,,,,,,,38.7612,35.8981
UNG,ETF Squeeze Sell,sell,94%,2026-02-02,Open,04/17/26,ATR5 x 1.0,1.8352,12.7,10.86,n/a,12.01,0.69,2026-02-03,,open,daily,2026-02-02,2.3846,2.7014,15.7245,1.8352,,,,,,,,,,,,,,,,,,
USO,ETF Squeeze Sell,sell,86%,2026-02-02,Open,04/17/26,ATR5 x 1.0,2.7265,75.85,73.12,n/a,80.85,-5.0,2026-02-03,,open,daily,2026-02-02,4.0485,4.3725,77.9978,2.7265,,,,,,,,,,,,,,,,,,
XLE,ETF Squeeze Sell,sell,81%,2026-02-02,Open,04/17/26,ATR5 x 1.0,1.0801,50.24,49.16,n/a,54.88,-4.64,2026-02-03,,open,daily,2026-02-02,2.6377,2.7336,51.351,1.0801,,,,,,,,,,,,,,,,,,
XOP,ETF Squeeze Sell,sell,83%,2026-02-02,Open,04/17/26,ATR5 x 1.0,3.762,135.61,131.85,n/a,151.86,-16.25,2026-02-03,,open,daily,2026-02-02,6.8895,7.0736,139.3474,3.762,,,,,,,,,,,,,,,,,,
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-02-02,Target Hit,04/17/26,Weekly ATR5 x 0.55,1.3966,38.72,39.48,n/a,38.81,0.09,2026-02-03,2026-02-10,5,weekly,2026-02-02,,,,,gold,gold,1.3966,,,,,,,,,,,,,,,
DIA,Squeeze Play Sector Sell,sell,90%,2026-02-03,Open,04/17/26,ATR5 x 1.0,6.303,493.92,487.62,n/a,496.08,-2.16,2026-02-04,,open,daily,2026-02-03,,,,6.303,,,,,,,,,,,487.532,,490.81,492.0877,2.1436,0.7771,,
FXI,Weekly 10.5 Squeeze Buy,buy,87%,2026-02-03,Target Hit,04/17/26,Weekly ATR5 x 0.55,1.3966,38.72,39.49,n/a,38.81,0.09,2026-02-04,2026-02-10,4,weekly,2026-02-03,,,,,,,1.3966,,,38.3822,-0.6886,-0.7758,-1.0,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-02-03,Open,04/17/26,Weekly ATR5 x 0.55,17.4921,615.02,624.64,n/a,608.81,-6.21,2026-02-04,,open,weekly,2026-02-03,,,,,gold,gold,17.4921,,,,,,,,,,,,,,,
UNG,Weekly Swing Trend Buy Setup 1,buy,81%,2026-02-03,Open,04/17/26,Weekly ATR5 x 0.55,2.3113,13.59,14.86,n/a,12.01,-1.58,2026-02-04,,open,weekly,2026-02-03,,,,,gold,red,2.3113,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-02-03,Target Hit,04/17/26,Weekly ATR5 x 0.55,1.5367,51.01,51.86,n/a,52.96,1.95,2026-02-04,2026-02-04,0,weekly,2026-02-03,,,,,gold,gold,1.5367,,,,,,,,,,,,,,,
VNQ,Weekly Swing Trend Buy Setup 2,buy,90%,2026-02-03,Target Hit,04/17/26,Weekly ATR5 x 0.55,2.2756,90.24,91.49,n/a,94.88,4.64,2026-02-04,2026-02-06,2,weekly,2026-02-03,,,,,,,2.2756,89.8261,89.5813,90.1715,,,,,,,,,,,,
QQQ,Weekly Turbo Hook Buy,buy,86%,2026-02-03,Open,04/17/26,Weekly ATR5 x 0.55,17.4921,615.02,624.64,n/a,608.81,-6.21,2026-02-04,,open,weekly,2026-02-03,,,,,,,17.4921,,,578.9762,,,,,,,,,,,99.5411,87.2123
SPY,Weekly Turbo Hook Buy,buy,92%,2026-02-03,Open,04/17/26,Weekly ATR5 x 0.55,13.3385,690.35,697.69,n/a,689.43,-0.92,2026-02-04,,open,weekly,2026-02-03,,,,,,,13.3385,,,646.3835,,,,,,,,,,,65.9938,97.4306
XLK,Weekly Turbo Hook Buy,buy,89%,2026-02-03,Target Hit,04/17/26,Weekly ATR5 x 0.55,5.1443,140.83,143.66,n/a,140.88,0.05,2026-02-04,2026-02-09,3,weekly,2026-02-03,,,,,,,5.1443,,,134.093,,,,,,,,,,,38.7612,35.8981
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-02-04,Target Hit,04/17/26,Weekly ATR5 x 0.55,1.3966,38.59,39.36,n/a,38.81,0.22,2026-02-05,2026-02-09,2,weekly,2026-02-04,,,,,gold,gold,1.3966,,,,,,,,,,,,,,,
USO,ETF Squeeze Sell,sell,86%,2026-02-05,Open,04/17/26,ATR5 x 1.0,2.5982,76.24,73.64,n/a,80.85,-4.61,2026-02-06,,open,daily,2026-02-05,3.7925,4.1899,79.2738,2.5982,,,,,,,,,,,,,,,,,,
XLB,ETF Squeeze Sell,sell,86%,2026-02-05,Open,04/17/26,ATR5 x 1.0,1.131,50.86,49.73,n/a,52.96,-2.1,2026-02-06,,open,daily,2026-02-05,1.6665,1.8337,51.9368,1.131,,,,,,,,,,,,,,,,,,
