symbol,strategy,direction,win_rate,signal_date,status,expiration,target_type,atr,entry_price,target_price,last_close_price,diff_from_entry,entry_date,exit_date,num_days_open
XOP,Weekly Swing Trend Buy,buy,83%,01/23/26,Target Hit,03/20/26,Weekly ATR5 x 0.55,3.9186,136.345,140.26,151.86,15.515000000000015,2026-01-26,2026-01-29,3
SPY,Weekly Ichimoku Squeeze Sell,sell,92%,01/23/26,Target Hit,03/20/26,ATR20 x 1.0,6.421,690.49,684.07,689.43,1.0600000000000591,2026-01-26,2026-02-02,5
EWG,Donchian T-Lines Buy/Sell,buy,89%,01/26/26,Target Hit,03/20/26,ATR5 x 1.0,0.461,44.03,44.49,44.32,0.28999999999999915,2026-01-27,2026-02-12,12
IWM,ETF Squeeze Sell,sell,87%,01/26/26,Target Hit,03/20/26,ATR5 x 1.0,4.0402,264.05,260.01,264.61,-0.5600000000000023,2026-01-27,2026-01-29,2
XME,ETF Squeeze Sell,sell,86%,01/26/26,Target Hit,03/20/26,ATR5 x 1.0,4.6732,125.61,120.94,117.46,8.150000000000006,2026-01-27,2026-01-30,3
SPY,20.8 Trigger Lines Put/Call Buy (Setup 5),buy,87%,01/27/26,Open,03/20/26,ATR5 x 1.0,5.8787,697.05,702.93,689.43,-7.6200000000000045,2026-01-28,,open
SPY,Donchian T-Lines Buy/Sell,buy,90%,01/27/26,Open,03/20/26,ATR5 x 1.0,5.8787,697.05,702.93,689.43,-7.6200000000000045,2026-01-28,,open
XLK,Donchian T-Lines Buy/Sell,buy,91%,01/27/26,Open,03/20/26,ATR5 x 1.0,2.3925,149.0,151.39,140.88,-8.120000000000005,2026-01-28,,open
XLV,Donchian T-Lines Buy/Sell,sell,85%,01/27/26,Open,03/20/26,ATR5 x 1.0,2.1549,154.3,152.15,156.82,-2.519999999999982,2026-01-28,,open
QQQ,Donchian Hook Buy,buy,94%,01/27/26,Open,03/20/26,ATR5 x 1.0,7.7519,635.46,643.21,608.81,-26.65000000000009,2026-01-28,,open
XLK,Donchian Hook Buy,buy,87%,01/27/26,Open,03/20/26,ATR5 x 1.0,2.3925,149.0,151.39,140.88,-8.120000000000005,2026-01-28,,open
XLB,ETF Squeeze Sell,sell,86%,01/28/26,Target Hit,03/20/26,ATR5 x 1.0,0.6309,50.45,49.82,52.96,-2.509999999999998,2026-01-29,2026-01-30,1
VWO,ETF Squeeze Sell,sell,90%,01/29/26,Target Hit,03/20/26,ATR5 x 1.0,0.6742,56.955,56.28,58.53,-1.5750000000000028,2026-01-30,2026-02-02,1
EWH,ETF Squeeze Sell,sell,88%,01/30/26,Open,03/20/26,ATR5 x 1.0,0.3664,23.17,22.8,23.76,-0.5899999999999999,2026-02-02,,open
FXI,ETF Squeeze Sell,sell,89%,01/30/26,Target Hit,03/20/26,ATR5 x 1.0,0.7867,39.145,38.36,38.81,0.33500000000000085,2026-02-02,2026-02-04,2
QQQ,ETF Squeeze Sell,sell,85%,01/30/26,Target Hit,03/20/26,ATR5 x 1.0,9.1596,618.7,609.54,608.81,9.8900000000001,2026-02-02,2026-02-04,2
SLV,ETF Squeeze Sell,sell,86%,01/30/26,Open,03/20/26,ATR5 x 1.0,13.5456,73.8,60.25,76.62,-2.8200000000000074,2026-02-02,,open
QQQ,Weekly Turbo Hook Buy,buy,86%,01/30/26,Target Hit,03/20/26,Weekly ATR5 x 0.55,9.6207,618.7,628.32,608.81,-9.8900000000001,2026-02-02,2026-02-03,1
SPY,Weekly Turbo Hook Buy,buy,92%,01/30/26,Target Hit,03/20/26,Weekly ATR5 x 0.55,7.3362,689.58,696.92,689.43,-0.15000000000009095,2026-02-02,2026-02-03,1
XLK,Weekly Turbo Hook Buy,buy,89%,01/30/26,Open,03/20/26,Weekly ATR5 x 0.55,2.8293,143.53,146.36,140.88,-2.6500000000000057,2026-02-02,,open
VNQ,Weekly Swing Trend Buy,buy,90%,01/30/26,Target Hit,03/20/26,Weekly ATR5 x 0.55,1.2516,90.9,92.15,94.88,3.9799999999999898,2026-02-02,2026-02-06,4
FXI,Weekly 10.5 Squeeze Buy,buy,87%,01/30/26,Open,03/20/26,Weekly ATR5 x 0.55,0.7681,39.145,39.91,38.81,-0.33500000000000085,2026-02-02,,open
DIA,Weekly Ichimoku Squeeze Sell,sell,92%,01/30/26,Open,03/20/26,ATR20 x 1.0,5.0875,488.87,483.78,496.08,-7.2099999999999795,2026-02-02,,open
GDX,Weekly Ichimoku Squeeze Sell,sell,92%,01/30/26,Open,03/20/26,ATR20 x 1.0,4.3115,93.965,89.65,106.26,-12.295000000000002,2026-02-02,,open
IWM,Weekly Ichimoku Squeeze Sell,sell,90%,01/30/26,Open,03/20/26,ATR20 x 1.0,3.9307,258.48,254.55,264.61,-6.1299999999999955,2026-02-02,,open
UNG,ETF Squeeze Sell,sell,94%,02/02/26,Open,04/17/26,ATR5 x 1.0,1.8352,12.7,10.86,12.01,0.6899999999999995,2026-02-03,,open
USO,ETF Squeeze Sell,sell,86%,02/02/26,Open,04/17/26,ATR5 x 1.0,2.7265,75.85,73.12,80.85,-5.0,2026-02-03,,open
DIA,Squeeze Play Sector Sell,sell,90%,02/03/26,Open,04/17/26,ATR5 x 1.0,6.303,493.92,487.62,496.08,-2.159999999999968,2026-02-04,,open
USO,ETF Squeeze Sell,sell,86%,02/05/26,Open,04/17/26,ATR5 x 1.0,2.5982,76.24,73.64,80.85,-4.609999999999999,2026-02-06,,open
XLI,ETF Squeeze Sell,sell,88%,02/05/26,Open,04/17/26,ATR5 x 1.0,2.382,169.89,167.51,177.23,-7.340000000000003,2026-02-06,,open
SPY,Super Trend Sector Buy,buy,93%,02/09/26,Open,04/17/26,ATR5 x 1.0,50.1953,694.95,745.15,689.43,-5.5200000000000955,2026-02-10,,open
XHB,Donchian T-Lines Buy/Sell,buy,90%,02/09/26,Target Hit,04/17/26,ATR5 x 1.0,2.6935,118.06,120.75,118.91,0.8499999999999943,2026-02-10,2026-02-11,1
SPY,Donchian T-Lines Buy/Sell,buy,90%,02/10/26,Open,04/17/26,ATR5 x 1.0,41.1323,696.39,737.52,689.43,-6.960000000000036,2026-02-11,,open
TLT,Donchian T-Lines Buy/Sell,buy,87%,02/10/26,Target Hit,04/17/26,ATR5 x 1.0,0.6354,88.04,88.68,89.41,1.3699999999999903,2026-02-11,2026-02-12,1
TLT,Donchian Hook Buy,buy,93%,02/10/26,Target Hit,04/17/26,ATR5 x 1.0,0.6354,88.04,88.68,89.41,1.3699999999999903,2026-02-11,2026-02-12,1
VWO,ETF Squeeze Sell,sell,90%,02/12/26,Open,04/17/26,ATR5 x 1.0,0.7639,57.46,56.7,58.53,-1.0700000000000003,2026-02-13,,open
XLI,ETF Squeeze Sell,sell,88%,02/12/26,Open,04/17/26,ATR5 x 1.0,3.0403,173.1,170.06,177.23,-4.1299999999999955,2026-02-13,,open
XLB,ETF Squeeze Sell,sell,86%,02/17/26,Open,04/17/26,ATR5 x 1.0,1.1295,53.0,51.87,52.96,0.03999999999999915,2026-02-18,,open
XLI,ETF Squeeze Sell,sell,88%,02/18/26,Open,04/17/26,ATR5 x 1.0,2.6336,175.06,172.43,177.23,-2.1699999999999875,2026-02-19,,open
IWM,Donchian T-Lines Buy/Sell,buy,89%,02/19/26,Open,04/17/26,ATR5 x 1.0,5.4931,262.85,268.34,264.61,1.759999999999991,2026-02-20,,open
