Date,Open,High,Low,Close,Volume
20250324,1.2902,1.2973,1.2895,1.2925,89969
20250325,1.2922,1.2966,1.29,1.2945,69696
20250326,1.2945,1.2947,1.2874,1.2884,98772
20250327,1.2879,1.2992,1.2871,1.2948,101345
20250328,1.2954,1.2968,1.292,1.2939,80600
20250331,1.2937,1.2972,1.2885,1.2911,110743
20250401,1.2916,1.294,1.2879,1.2909,81616
20250402,1.292,1.3025,1.29,1.298,90110
20250403,1.3008,1.3208,1.2973,1.3094,200066
20250404,1.3102,1.3113,1.2852,1.288,261323
20250407,1.2848,1.2934,1.2709,1.2749,198855
20250408,1.2718,1.2813,1.2718,1.2789,130681
20250409,1.2775,1.2865,1.2745,1.2807,175691
20250410,1.2827,1.2997,1.2812,1.2982,137857
20250411,1.2975,1.3146,1.2966,1.306,172059
20250414,1.3091,1.3203,1.3064,1.3198,98057
20250415,1.3185,1.3253,1.3166,1.3219,79885
20250416,1.3232,1.3303,1.3214,1.3233,84248
20250417,1.3243,1.3275,1.3205,1.3271,73970
20250421,1.3276,1.3425,1.3275,1.3382,66556
20250422,1.3385,1.3425,1.3328,1.3338,107047
20250423,1.3304,1.3341,1.3236,1.3268,114465
20250424,1.3253,1.3351,1.3252,1.3329,72047
20250425,1.3344,1.3344,1.3277,1.3332,63956
20250428,1.3315,1.3448,1.3282,1.3429,93573
20250429,1.3443,1.3447,1.3382,1.3404,80932
20250430,1.3412,1.3417,1.3312,1.3342,94441
20250501,1.333,1.3348,1.3263,1.328,69119
20250502,1.3281,1.3334,1.3256,1.3277,88107
20250505,1.3273,1.334,1.3261,1.3292,54242
20250506,1.33,1.3406,1.3264,1.3379,103172
20250507,1.3379,1.338,1.3283,1.3326,83684
20250508,1.3295,1.3358,1.3238,1.3254,118487
20250509,1.3247,1.3325,1.3214,1.3317,60288
20250512,1.3279,1.3302,1.3142,1.3182,117986
20250513,1.3175,1.3319,1.3172,1.3302,84455
20250514,1.3308,1.3363,1.3256,1.3267,81522
20250515,1.3267,1.3321,1.3262,1.33,63100
20250516,1.3307,1.3335,1.3252,1.328,57438
20250519,1.3286,1.3405,1.328,1.3358,75398
20250520,1.3365,1.3397,1.3336,1.3381,69462
20250521,1.3392,1.347,1.3388,1.3431,109699
20250522,1.3421,1.3443,1.3392,1.3425,81892
20250523,1.3425,1.3542,1.342,1.3533,96873
20250527,1.3533,1.3594,1.3501,1.3514,115156
20250528,1.3508,1.3523,1.3451,1.3471,72187
20250529,1.3476,1.3509,1.3417,1.3499,78902
20250530,1.3495,1.3512,1.3449,1.347,76111
20250602,1.3455,1.3561,1.3451,1.3542,114484
20250603,1.3547,1.356,1.3493,1.3526,69461
20250604,1.3519,1.3582,1.3503,1.356,71360
20250605,1.3555,1.3618,1.3541,1.3582,1
