symbol,strategy,direction,win_rate,signal_date,status,expiration,target_type,atr,entry_price,target_price,stop_price,last_close_price,diff_from_entry,entry_date,exit_date,num_days_open
YM,TXD Trendlines Index Futures Sell,sell,,01/20/26,Stopped out,,ATR5 x 0.6,,48826.1,48473.72819,48003.89911,49285.0,-458.90000000000146,2026-01-21,2026-01-22,1
NQ,D3 Index Futures Buy,buy,84%,01/22/26,Target Hit,,ATR5 x 0.6,,25742.75,25984.92022,25015.0,25077.5,-665.25,2026-01-23,2026-01-27,2
6E,Super Bull Currency Futures Buy,buy,90%,01/22/26,Target Hit,,Entry-Stop x 0.4,,1.1795,1.18378,1.1688,1.1802,0.0006999999999999229,2026-01-23,2026-01-26,1
NQ,T-Lines Index Futures Buy,buy,85%,01/27/26,Stopped out,,ATR5 x 0.6,,26111.25,26347.08355,25560.97171,25077.5,-1033.75,2026-01-28,2026-01-29,1
6S,Squeeze Play Currency Futures Buy,buy,94%,02/03/26,Expired - Entry Not Triggered,,Entry-Stop x 0.4,,1.2994,1.30778,1.27844,1.2955,-0.0039000000000000146,,,Expired
6E,Squeeze Play Currency Futures Buy,buy,86%,02/03/26,Expired - Entry Not Triggered,,Entry-Stop x 0.4,,1.1868,1.19242,1.17275,1.1802,-0.006600000000000161,,,Expired
6B,Squeeze Play Currency Futures Buy,buy,53%,02/03/26,Stopped out,,Entry-Stop x 0.4,,1.3721,1.37773,1.35803,1.351,-0.02110000000000012,2026-02-04,2026-02-05,1
6S,TNT 52 Currency Futures Sell,buy,,02/05/26,Expired - Entry Not Triggered,,ATR5 x 0.6,,1.2883,1.28118,1.2978,1.2955,0.007200000000000095,,,Expired
6B,Bear Attack 2 Currency Futures Sell,sell,81%,02/05/26,Expired - Entry Not Triggered,,ATR5 x 0.6,,1.3502,1.34382,1.3742,1.351,-0.0007999999999999119,,,Expired
6S,Bear Attack Squeeze Currency Futures Sell,sell,,02/05/26,Expired - Entry Not Triggered,,Entry-Stop x 0.4,,1.2878,1.2838,1.2978,1.2955,-0.00770000000000004,,,Expired
ES,D3 Index Futures Buy,buy,86%,02/06/26,Open,,ATR5 x 0.6,,6967.5,7048.13869,6741.5,6912.5,-55.0,2026-02-09,,open
6C,Double ÒDÓ Swing Currency Futures Buy,buy,87%,02/09/26,Open,,ATR5 x 0.6,,0.74,0.74294,0.7288,0.7311,-0.008900000000000019,2026-02-10,,open
6S,Double ÒDÓ Swing Currency Futures Buy,buy,73%,02/09/26,Open,,ATR5 x 0.6,,1.3122,1.31962,1.2883,1.2955,-0.016699999999999937,2026-02-10,,open
ES,Bull Run Index Futures Buy,buy,,02/09/26,Open,,ATR5 x 0.6,,7003.5,7077.55095,6748.5,6912.5,-91.0,2026-02-10,,open
6B,Bear Attack Squeeze Currency Futures Sell,sell,,02/10/26,Target Hit,,Entry-Stop x 0.4,,1.3623,1.35882,1.371,1.351,0.011300000000000088,2026-02-11,2026-02-17,3
6S,TNT 52 Currency Futures Sell,sell,84%,02/11/26,Expired - Entry Not Triggered,,ATR5 x 0.6,,1.2971,1.28973,1.3165,1.2955,0.0015999999999998238,,,Expired
6B,TNT 52 Currency Futures Sell,sell,75%,02/11/26,Target Hit,,ATR5 x 0.6,,1.3594,1.3534,1.3722,1.351,0.008399999999999963,2026-02-13,2026-02-17,1
6B,Bear Attack 1 Currency Futures Sell,sell,87%,02/19/26,Expired - Entry Not Triggered,,ATR5 x 0.6,,1.3419,1.33611,1.3592,1.351,-0.009099999999999886,,,Expired
RTY,T-Lines Index Futures Buy,buy,80%,02/20/26,Open,,ATR5 x 0.6,,2666.5,2700.74741,2586.58937,2662.3,-4.199999999999818,2026-02-23,,open
RTY,Super Trend Swing Index Futures Buy,buy,,02/23/26,Open - Entry Not Triggered,,Entry-Stop x 0.4,,2666.5,2697.12967,2589.92582,2662.3,-4.199999999999818,,,open
